id,ticker,entry_date,exit_date,entry_price,exit_price,shares,direction,pnl,pnl_percent,status,strategy,elliott_pattern,risk_level,notes,stop_loss,target,target2,target3,created_at,updated_at
2,MSTU,2025-02-12,,12.1,,15,LONG,,,OPEN,Crypto,,,Imported from CSV row 2,8.67,,,,2025-12-20 12:47:05,2026-01-05 11:44:21
3,VSTS,2025-06-11,,5.27,,40,LONG,,,OPEN,TV screener Piso,,,Imported from CSV row 3,6.2,5.7,6.1,8.0,2025-12-20 12:47:05,2025-12-24 11:35:44
4,LAR,2025-02-10,,4.17,,30,LONG,,,OPEN,Company,,,Imported from CSV row 4,6.3,5.9,6.4,10.0,2025-12-20 12:47:05,2026-01-08 20:18:51
5,SPY,2025-01-01,,586.0,,1,LONG,,,OPEN,Imported,,,Imported from CSV row 5,11.22,0.0,0.0,0.0,2025-12-20 12:47:05,2025-12-22 14:04:33
6,SMC,2025-11-13,,23.81,,10,LONG,,,OPEN,Tv screener piso,,,Imported from CSV row 6,23.0,26.0,48.0,0.0,2025-12-20 12:47:05,2025-12-24 11:54:50
7,ETHU,2025-02-12,,54.0,,4,LONG,,,OPEN,Crypto,,,Imported from CSV row 7,47.0,80.0,108.0,0.0,2025-12-20 12:47:05,2025-12-24 15:19:43
8,RDDT,2025-01-12,,225.0,,1,LONG,,,OPEN,Post Venta,,,Imported from CSV row 8,196.0,252.0,340.0,0.0,2025-12-20 12:47:05,2026-01-05 22:58:03
9,FCEL,2025-08-12,,8.51,,20,LONG,,,OPEN,Colab Bull Flag,,,Imported from CSV row 9,7.3,11.0,17.0,24.0,2025-12-20 12:47:05,2025-12-24 11:36:47
10,SNDK,2025-08-12,,243.18,,1,LONG,,,OPEN,Colab Bull Flag,,,Imported from CSV row 10,196.0,299.0,500.0,1400.0,2025-12-20 12:47:05,2026-01-06 10:53:24
11,STLA,2024-12-11,,11.88,,20,LONG,,,OPEN,Tio Mercado,,,Imported from CSV row 11,9.58,11.0,13.0,18.0,2025-12-20 12:47:05,2025-12-24 11:53:58
12,VERI,2025-08-12,,5.22,,30,LONG,,,OPEN,Colab Bull Flag,,,Imported from CSV row 12,4.8,9.0,26.0,0.0,2025-12-20 12:47:05,2025-12-24 11:39:16
13,MIRA,2025-10-28,,1.73,,280,LONG,,,OPEN,Finviz piso II,,,Imported from CSV row 13,1.28,1.7,1.8,2.0,2025-12-20 12:47:05,2025-12-24 11:49:27
14,VKTX,2025-05-12,2026-01-05,38.34,33.03,10,LONG,-53.10000000000002,-13.849765258215967,CLOSED,Post Venta,,,Imported from CSV row 14,33.6,42.0,51.0,66.0,2025-12-20 12:47:05,2025-12-24 11:53:27
15,DOCU,2025-09-19,,86.31,,2,LONG,,,OPEN,Imported,,,Imported from CSV row 15,62.29,98.69,146.0,174.0,2025-12-20 12:47:05,2025-12-22 13:40:17
16,MRNA,2024-09-23,,42.33,,11,LONG,,,OPEN,X Banana,,,Imported from CSV row 16,30.0,31.0,33.0,35.0,2025-12-20 12:47:05,2025-12-24 11:50:07
17,SPCE,2025-05-12,2025-12-24,4.47,3.34,25,LONG,-28.249999999999996,-25.279642058165546,CLOSED,Post Venta,,,Imported from CSV row 17,4.0,0.0,0.0,0.0,2025-12-20 12:47:05,2025-12-24 11:52:51
18,QCLS,2025-08-12,,7.33,,12,LONG,,,OPEN,Tim Sykes,,,Imported from CSV row 18,3.84,10.0,0.0,0.0,2025-12-20 12:47:05,2026-01-08 20:17:12
19,CLSK,2025-10-24,,18.3,,20,LONG,,,OPEN,Imported,,,Imported from CSV row 19,11.3,22.9,24.6,0.0,2025-12-20 12:47:05,2026-01-08 20:15:43
20,ARCT,2025-09-16,,10.2,,61,LONG,,,OPEN,Julian Komar,,,Imported from CSV row 20,5.75,20.9,0.0,0.0,2025-12-20 12:47:05,2026-01-08 20:16:48
21,DXYZ,2025-05-27,2026-01-08,49.3,26.99,2,LONG,-44.62,-45.25354969574036,CLOSED,Imported,,,Imported from CSV row 21,28.0,29.0,32.0,38.0,2025-12-20 12:47:05,2025-12-22 21:17:07
22,BBBY,2025-05-13,,10.35,,10,LONG,,,OPEN,NA,,,Imported from CSV row 22,6.11,7.8,0.0,0.0,2025-12-20 12:47:05,2025-12-24 11:47:11
23,AGEN,2025-11-07,2025-12-26,7.07,3.31,12,LONG,-45.120000000000005,-53.18246110325319,CLOSED,TV screener Breakout,,,Imported from CSV row 23,3.27,4.5,0.0,0.0,2025-12-20 12:47:05,2025-12-24 11:42:44
24,DXYZ,2025-12-22,2026-01-08,32.8,26.99,2,LONG,-11.619999999999997,-17.71341463414634,CLOSED,,,,,28.0,29.0,32.0,38.0,2025-12-22 18:42:06,2025-12-22 21:17:07
26,MARA,2025-12-26,,9.53,,10,LONG,,,OPEN,Options scanner,,,,9.43,10.06,,,2025-12-26 16:22:34,2025-12-26 17:28:43
27,DOW,2025-12-30,,23.3,,10,LONG,,,OPEN,Laggard,,,,20.48,25.0,28.0,38.0,2025-12-30 12:46:07,2025-12-30 12:46:31
28,SHOP,2025-12-30,,166.98,,1,LONG,,,OPEN,Agressive,,,,155.0,,,,2025-12-30 12:53:40,2025-12-30 15:22:21
29,INDP,2025-12-31,,2.68,,50,LONG,,,OPEN,W.RSI Scanner,,,,2.4,3.1,4.5,6.0,2025-12-31 14:04:33,2026-01-09 18:14:19
32,CAKE,2026-01-05,,52.0,,5,LONG,,,OPEN,W.RSI Scanner,,,,49.3,56.52,58.2,60.3,2026-01-05 11:27:55,2026-01-07 12:24:37
33,IT,2025-12-31,,253.16,,1,LONG,,,OPEN,W.RSI Scanner,,,,222.5,,,,2026-01-05 11:33:40,2026-01-05 11:33:51
34,ETHU,2026-01-02,,60.58,,4,LONG,,,OPEN,,,,,47.0,80.0,108.0,0.0,2026-01-05 11:36:35,2026-01-05 11:36:35
35,VOYG,2026-01-05,,27.5,,6,LONG,,,OPEN,W.RSI Scanner,,,,22.7,34.0,37.0,,2026-01-05 11:39:11,2026-01-05 11:39:36
36,TSLA,2026-01-05,,456.15,,1,LONG,,,OPEN,Options scanner,,,,433.0,,,950.0,2026-01-05 20:29:59,2026-01-05 20:34:02
37,ETHU,2026-01-06,,67.58,,2,LONG,,,OPEN,,,,,47.0,80.0,108.0,0.0,2026-01-06 16:07:56,2026-01-06 16:07:56
38,GBTC,2026-01-06,,73.7,,4,LONG,,,OPEN,,,,,,,,,2026-01-06 16:16:23,2026-01-06 16:16:23
39,KKR,2026-01-08,,132.38,,2,LONG,,,OPEN,W.RSI Scanner,,,,127.0,144.0,164.0,177.0,2026-01-08 20:26:17,2026-01-08 20:26:38
